index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
27,25,1,Michelle,"Provo, Utah",Michelle Davis ,Michelle D.,Wedding Cake Baker,19
28,31,1,Nicole,"Scottsdale, Arizona",Nicole Meacham  ,Nicole M.,Real Estate Agent,19
29,28,1,Reegan,"Manhattan Beach, California",Reegan Cornwell ,Reegan C.,Cadaver Tissue Saleswoman,19
0,25,Winner,Lauren,"West Linn, Oregon",Lauren Bushnell   ,Lauren B.,Flight Attendant,20
1,24,Runner-up,Joelle,"Dallas, Texas","Joelle ""JoJo"" Fletcher  ",Joelle F.,Real Estate Developer,20
2,24,9,Caila,"Hudson, Ohio",Caila Quinn  ,Caila Q.,Software Sales Representative,20
3,25,8,Amanda,"Rancho Santa Margarita, California",Amanda Stanton  ,Amanda S.,Esthetician,20
4,26,7,Becca,"Shreveport, Louisiana",Becca Tilley ,Becca T.,Chiropractic Assistant,20
5,23,7,Emily,"Las Vegas, Nevada",Emily Ferguson   ,Emily F.,Twin,20
6,25,6,Lauren,"Dexter, Michigan",Lauren Himle ,Lauren H.,Kindergarten Teacher,20
7,23,6,Olivia,"Bristol, Virginia",Olivia Caridi  ,Olivia C.,Former News Anchor,20
8,25,6,Leah,"Greenwood Village, Colorado",Leah Block ,Leah B.,Event Planner,20
9,25,5,Jennifer,"Lauderdale Lakes, Florida",Jennifer Saviano ,Jennifer S.,Small Business Owner,20
10,24,5,Jubilee,"Fort Lauderdale, Florida",Jubilee Sharpe  ,Jubilee S.,War Veteran,20
11,30,4,Amber,"Kankakee, Illinois",Amber James ,Amber J.,Bartender,20
12,23,4,Rachel,"Little Rock, Arkansas",Rachel Tchen ,Rachel T.,Unemployed,20
13,23,4,Haley,"Las Vegas, Nevada",Haley Ferguson   ,Haley F.,Twin,20
14,23,3,Jami,"St. Albert, Alberta",Jami Letain ,Jami L.,Bartender,20
15,27,3,Shushanna,"Salt Lake City, Utah",Shushanna Mkrtychyan ,Shushanna M.,Mathematician,20
16,25,3,Lace,"Denver, Colorado",Lace Morris ,Lace M.,Real Estate Agent,20
17,28,2,Amanda,"Portland, Oregon","Amanda ""Mandi"" Kremer ",Amanda K.,Dentist,20
18,23,2,Jacqueline,"Newport Beach, California","Jacqueline ""Jackie"" Dion ",Jacqueline D.,Gerontologist,20
19,26,2,Samantha,"New Smyrna Beach, Florida",Samantha Passmore ,Samantha P.,Attorney,20
20,23,2,Lauren,"Stillwater, Oklahoma","Lauren ""LB"" Barr ",Lauren B.,Fashion Buyer,20
21,30,1,Breanne,"Seattle, Washington",Breanne Rice ,Breanne R.,Nutritional Therapist,20
22,24,1,Isabel,"Branford, Connecticut","Isabel ""Izzy"" Goodkind ",Isabel G.,Graphic Designer,20
23,23,1,Jessica,"Boca Raton, Florida",Jessica Moser ,Jessica M.,Accountant,20
24,24,1,Laura,"Louisville, Kentucky",Laura Esselman ,Laura E.,Account Executive,20
25,26,1,Lauren,"Houston, Texas",Lauren Russell ,Lauren R.,Math Teacher,20
26,30,1,Maegan,"Visalia, California",Maegan Miller ,Maegan M.,Cowgirl,20
27,27,1,Tiara,"Redmond, Washington",Tiara Soleim ,Tiara S.,Chicken Enthusiast,20
